"ARABIC,COMPUTER STUDIES,FRENCH. CODE: SS1006 | TRACK: LANGUAGES & LITERATURE",,,,,
KAMOTI SECONDARY SCHOOL [KILIFI-RABAI],KILIFI,MIXED,DAY,C4,REGULAR
MOI FORCES GIRLS ACADEMY - MOMBASA,MOMBASA,GIRLS,BOARDING,C3,REGULAR
ITOLEKA GIRLS,KITUI,GIRLS,BOARDING,C2,REGULAR
TIMBWANI SECONDARY SCHOOL]LIKONI],MOMBASA,MIXED,DAY,C4,REGULAR
ST MATHIAS MULUMBA GIRLS SECONDARY SCHOOL,NYAMIRA,GIRLS,BOARDING,C2,REGULAR
ST THERESA NYANGUSU GIRLS,KISII,GIRLS,BOARDING,C2,REGULAR
MARIMANI,MOMBASA,MIXED,DAY,C4,REGULAR
RHAMU GIRLS,MANDERA,GIRLS,BOARDING,C3,REGULAR
MUMTAZ GIRLS HIGH SCHOOL,NAKURU,GIRLS,BOARDING,PR,INTEGRATED
AIC KATILIA BOYS SEC,TURKANA,BOYS,BOARDING,C3,REGULAR
ST. MICHEAL KIPSOMBE,UASIN GISHU,MIXED,DAY,C4,REGULAR
WAA GIRLS,KWALE,GIRLS,BOARDING,C2,REGULAR
SHARIANI SECONDARY,KILIFI,MIXED,DAY,C4,REGULAR
MADOGO SEC,TANA RIVER,MIXED,BOARDING,C2,REGULAR
ST MARYS SOSIO GIRLS SECONDARY SCHOOL,BUNGOMA,GIRLS,BOARDING,C2,REGULAR
"BUTEHELU MIXED DAY AND BOYS BOARDING(WAJIR,BUNA)",WAJIR,MIXED,DAY,C4,REGULAR
NGIYA GIRLS,SIAYA,GIRLS,BOARDING,C1,REGULAR
MAKHONGE,BUNGOMA,MIXED,DAY,C4,REGULAR
MBARAKI GIRLS SEC,MOMBASA,GIRLS,DAY,C4,REGULAR
CHANGAMWE GIRLS SECONDARY,MOMBASA,GIRLS,DAY,C4,REGULAR
TONONOKA SECONDARY SCHOOL,MOMBASA,BOYS,DAY,C4,REGULAR
SHIMBA HILLS,KWALE,MIXED,BOARDING,C2,REGULAR
MATUGA GIRLS HIGH HIGH SCHOOL,KWALE,GIRLS,BOARDING,C1,REGULAR
ANOLE SECONDARY SCHOOL BOYS BOARDING,WAJIR,BOYS,DAY,C4,REGULAR
KATILU BOYS,TURKANA,BOYS,BOARDING,C2,INTERGRATED
Uasin Gishu HIGH,UASIN GISHU,MIXED,DAY,C4,REGULAR
BARANI,KILIFI,MIXED,DAY,C4,REGULAR
TIWI GIRLS SECONDARY SCHOOL,KWALE,GIRLS,DAY,C4,REGULAR
Arbajahan Mixed Day/ Boarding,WAJIR,MIXED,DAY,C4,REGULAR
,,,,,
"COMPUTER STUDIES,FASIHI YA KISWAHILI,INDIGENOUS LANGUAGE. CODE: SS1040 | TRACK: LANGUAGES & LITERATURE",,,,,
SCHOOL NAME,COUNTY,SEX,ACCOMMODATION,CLUSTER,CATEGORY
QUEEN OF ROSARY SEC SCH,KIAMBU,MIXED,DAY,C4,REGULAR
ONJIKO HIGH,KISUMU,BOYS,BOARDING,C2,REGULAR
WAMAGANA SEC,NYERI,GIRLS,BOARDING,C3,REGULAR
CHEMOLINGOT,BARINGO,BOYS,BOARDING,C3,REGULAR
OLOLULUNGA,NAROK,BOYS,BOARDING,C2,REGULAR
KIAIRIA,KIAMBU,MIXED,DAY,C4,REGULAR
Ranen Girls Secondary School,KISUMU,GIRLS,HYBRID,C4,REGULAR
GUANA MIXED SECONDARY,MIGORI,MIXED,DAY,C4,REGULAR
RIOMA MIXED,KISII,MIXED,DAY,C4,REGULAR
KASIKEU  BOYS,MAKUENI,BOYS,BOARDING,C2,REGULAR
KAPSITA SEC SCH,NAKURU,MIXED,DAY,C4,REGULAR
MATERA MIXED,SIAYA,MIXED,DAY,C4,REGULAR
NYANGATI MIXED,KIRINYAGA,MIXED,DAY,C4,REGULAR
RIGENA PAG,KISII,MIXED,DAY,C4,REGULAR
M.C.K KITHARE SEC,MERU,MIXED,DAY,C4,REGULAR
RUIRI GIRLS SEC,MERU,GIRLS,BOARDING,C2,REGULAR
MOCHENGO PAG,KISII,MIXED,DAY,C4,REGULAR
OLMESUTIE DAY SECONDARY SCHOOL,Narok,MIXED,DAY,C4,REGULAR
KOSODO MIXED SECONDARY,MIGORI,MIXED,DAY,C4,REGULAR
KANYAWANGA,MIGORI,BOYS,BOARDING,C2,REGULAR
MRIMA,MOMBASA,MIXED,DAY,C4,REGULAR
DR KAMUNDIA GIRLS,NYERI,GIRLS,BOARDING,C3,REGULAR
ST. PATRCK'S KAMGUNDHO,MIGORI,MIXED,DAY,C4,REGULAR
WATALA,KILIFI,MIXED,DAY,C4,REGULAR
NAMILAMA SEC,BUNGOMA,MIXED,BOARDING,C3,REGULAR
MUTITO GIRLS,KITUI,GIRLS,BOARDING,C2,REGULAR
