"COMPUTER STUDIES,GEOGRAPHY,ISLAMIC RELIGIOUS EDUCATION. CODE: SS2033 | TRACK: HUMANITIES & BUSINESS STUDIES",,,,,
FRERETOWN  SECONDARY  SCHOOL,MOMBASA,MIXED,DAY,C4,REGULAR
MWAKIRUNGE SEC,MOMBASA,MIXED,DAY,C4,REGULAR
MARSABIT SEC,MARSABIT,BOYS,BOARDING,C2,REGULAR
TUMAINI,KWALE,MIXED,DAY,C4,REGULAR
SHIMO LA TEWA HIGH,MOMBASA,BOYS,BOARDING,C1,REGULAR
SALA MIXED DAY SECONDARY SCHOOL {MANDERA-LAFEY},MANDERA,MIXED,DAY,C4,REGULAR
ST ANTONY KAKOYI SEC,KAKAMEGA,MIXED,BOARDING,C3,REGULAR
UKIA GIRLS,MAKUENI,GIRLS,BOARDING,C1,REGULAR
CHEWOYET BOYS,WEST POKOT,BOYS,BOARDING,C1,REGULAR
MOI FORCES ACADEMY,NAIROBI,BOYS,BOARDING,C1,REGULAR
LUKENYA GIRLS CENTRE,MACHAKOS,GIRLS,BOARDING,C3,REGULAR
MILALULU SECONDARY,TANA RIVER,MIXED,DAY,C4,REGULAR
KATILU GIRLS SEC,TURKANA,GIRLS,BOARDING,C1,REGULAR
MOI BOYS HIGH SCHOOL -KASIGAU,TAITA TAVETA,BOYS,BOARDING,C2,REGULAR
KALACHA BOYS HIGH SCHOOL,MARSABIT,BOYS,BOARDING,C3,REGULAR
MARSABIT MIXED DAY,MARSABIT,MIXED,DAY,C4,REGULAR
APEX BOYS HIGH SCHOOL,KAJIADO,BOYS,BOARDING,PR,REGULAR
LANGOBAYA,KILIFI,MIXED,DAY,C4,REGULAR
ST. ANNE'S SIANGALAMWE,BUNGOMA,MIXED,DAY,C4,REGULAR
"IBRAHIM URE MIXED DAY SECONDARY(WAJIR,WAJIR SOUTH)",WAJIR,MIXED,DAY,C4,REGULAR
ST. ANTHONY HIGH SCHOOL,NAIROBI,MIXED,DAY,PR,REGULAR
KADZINUNI SECONDARY SCHOOL,KILIFI,MIXED,DAY,C4,REGULAR
AGOROSARE BOYSHIGH SCH,HOMA BAY,BOYS,BOARDING,C1,REGULAR
GOSETA SEC,TRANS NZOIA,BOYS,BOARDING,C2,REGULAR
TARAKWA,BOMET,MIXED,DAY,C4,REGULAR
WENJE SEC,TANA RIVER,MIXED,BOARDING,C2,REGULAR
NYAKORERE,KISII,MIXED,DAY,C4,REGULAR
ST PAULS KIWANJANI,ISIOLO,MIXED,DAY,C4,REGULAR
KONGONI MIXED SECONDARY SCHOOL [NAIROBI-LANGATA],NAIROBI,MIXED,DAY,C4,REGULAR
FURQAN INTEGRATED SECONDARY SCHOOL,WAJIR,MIXED,DAY,PR,REGULAR
Chepsamo mixed secondary  school,ELGEYO MARAKWET,MIXED,DAY,C4,REGULAR
LONDIANI GIRLS,KERICHO,GIRLS,BOARDING,C2,REGULAR
STAR OF THE SEA,MOMBASA,GIRLS,DAY,C4,REGULAR
SERICHO SEC,ISIOLO,MIXED,BOARDING,C3,REGULAR
